,Case ID,Activity,Timestamp
0,1-109135791,Queued-Awaiting Assignment,2006/01/11 15:49:42.000
1,1-109135791,Accepted-In Progress,2012/03/15 11:53:52.000
2,1-109135791,Accepted-Assigned,2012/03/15 11:56:17.000
3,1-109135791,Accepted-In Progress,2012/03/15 12:09:05.000
4,1-109135791,Completed-Closed,2012/03/15 12:11:33.000
5,1-147898401,Accepted-In Progress,2006/11/07 10:00:36.000
6,1-147898401,Accepted-In Progress,2006/11/07 13:05:44.000
7,1-147898401,Accepted-Wait,2009/12/02 14:24:32.000
8,1-147898401,Accepted-In Progress,2011/09/03 07:09:09.000
9,1-147898401,Accepted-In Progress,2012/01/20 10:23:24.000
10,1-147898401,Completed-Closed,2012/01/20 10:23:27.000
15,1-165554831,Accepted-In Progress,2007/03/20 09:06:25.000
14,1-165554831,Accepted-Wait,2009/12/02 14:24:31.000
11,1-165554831,Accepted-In Progress,2011/09/03 07:10:53.000
12,1-165554831,Accepted-In Progress,2012/01/18 08:52:41.000
13,1-165554831,Completed-Closed,2012/01/18 08:52:43.000
16,1-172473423,Accepted-In Progress,2007/05/10 16:21:54.000
17,1-172473423,Accepted-Wait,2009/12/02 14:24:33.000
18,1-172473423,Accepted-In Progress,2011/09/03 07:10:59.000
19,1-172473423,Accepted-In Progress,2012/01/18 08:20:53.000
20,1-172473423,Completed-Closed,2012/01/18 08:21:10.000
26,1-182640781,Accepted-In Progress,2007/07/25 14:21:05.000
27,1-182640781,Completed-Closed,2012/01/03 11:31:53.000
24,1-182640781,Accepted-In Progress,2011/09/05 09:24:13.000
25,1-182640781,Accepted-Assigned,2011/11/14 16:10:25.000
22,1-182640781,Accepted-Wait,2009/12/02 14:24:32.000
21,1-182640781,Accepted-In Progress,2012/01/03 11:30:35.000
23,1-182640781,Queued-Awaiting Assignment,2010/08/25 11:13:01.000
28,1-230541365,Accepted-In Progress,2008/05/07 18:58:51.000
29,1-230541365,Accepted-In Progress,2008/10/06 16:44:37.000
30,1-230541365,Accepted-Wait,2009/12/02 14:24:34.000
31,1-230541365,Accepted-In Progress,2011/09/02 00:27:50.000
32,1-230541365,Accepted-In Progress,2011/09/02 00:27:55.000
33,1-230541365,Accepted-In Progress,2012/01/20 07:53:32.000
34,1-230541365,Completed-Closed,2012/01/20 07:53:35.000
38,1-236817141,Completed-Closed,2012/01/05 14:09:00.000
41,1-236817141,Accepted-In Progress,2012/01/05 14:08:18.000
40,1-236817141,Accepted-Assigned,2011/11/14 16:09:27.000
39,1-236817141,Accepted-In Progress,2008/06/04 12:02:18.000
37,1-236817141,Accepted-In Progress,2011/09/03 08:02:11.000
36,1-236817141,Queued-Awaiting Assignment,2010/08/25 11:06:45.000
35,1-236817141,Accepted-Wait,2009/12/02 14:24:34.000
42,1-270399977,Accepted-In Progress,2008/11/13 09:43:32.000
43,1-270399977,Accepted-In Progress,2012/01/30 10:56:24.000
44,1-270399977,Accepted-In Progress,2012/01/30 11:12:05.000
45,1-270399977,Queued-Awaiting Assignment,2012/02/16 14:52:16.000
46,1-270399977,Accepted-In Progress,2012/02/16 15:09:17.000
47,1-270399977,Queued-Awaiting Assignment,2012/02/16 15:09:43.000
48,1-270399977,Accepted-In Progress,2012/02/16 15:10:10.000
49,1-270399977,Completed-Closed,2012/03/19 09:26:32.000
54,1-270427461,Accepted-In Progress,2008/11/13 11:01:04.000
52,1-270427461,Accepted-Wait,2009/12/02 14:24:35.000
53,1-270427461,Accepted-In Progress,2011/11/14 15:57:27.000
51,1-270427461,Accepted-In Progress,2012/01/18 10:17:14.000
50,1-270427461,Completed-Closed,2012/01/18 10:19:21.000
55,1-310231291,Accepted-In Progress,2009/06/25 09:47:52.000
56,1-310231291,Accepted-In Progress,2012/03/28 13:10:36.000
57,1-310231291,Completed-Closed,2012/03/28 13:12:08.000
66,1-316086072,Queued-Awaiting Assignment,2011/12/07 12:41:00.000
65,1-316086072,Accepted-Wait,2011/10/01 22:40:28.000
64,1-316086072,Queued-Awaiting Assignment,2010/05/18 12:35:53.000
62,1-316086072,Accepted-In Progress,2012/02/15 12:01:20.000
63,1-316086072,Accepted-In Progress,2009/08/11 08:44:51.000
60,1-316086072,Completed-Closed,2012/02/19 21:57:21.000
59,1-316086072,Accepted-In Progress,2010/06/16 12:00:32.000
58,1-316086072,Accepted-Assigned,2009/08/11 12:01:25.000
61,1-316086072,Queued-Awaiting Assignment,2009/08/11 08:55:12.000
67,1-320604521,Accepted-In Progress,2009/09/07 14:33:24.000
68,1-320604521,Unmatched-Unmatched,2009/09/14 11:37:50.000
69,1-320604521,Completed-Closed,2012/04/30 12:21:43.000
78,1-322204195,Accepted-In Progress,2009/09/28 11:26:19.000
79,1-322204195,Queued-Awaiting Assignment,2009/09/16 22:42:12.000
76,1-322204195,Accepted-Wait,2009/09/28 11:26:30.000
75,1-322204195,Queued-Awaiting Assignment,2010/04/08 12:09:22.000
77,1-322204195,Queued-Awaiting Assignment,2010/04/08 12:11:51.000
73,1-322204195,Accepted-In Progress,2010/04/12 10:05:58.000
72,1-322204195,Accepted-Wait,2010/04/12 10:10:24.000
74,1-322204195,Accepted-In Progress,2011/10/18 16:09:14.000
71,1-322204195,Completed-Closed,2012/05/24 11:03:31.000
